,game_id,home_team,away_team,home_score,away_score
395,2015020389,L.A,PIT,5,3
396,2015020393,STL,TOR,1,4
397,2015020393,STL,TOR,1,4
398,2015020390,OTT,NYI,3,2
399,2015020391,DET,NSH,5,4
400,2015020392,CAR,MTL,3,2
401,2015020394,PHI,CBJ,1,4
402,2015020395,MIN,COL,3,0
403,2015020396,VAN,BOS,0,4
404,2015020397,S.J,T.B,3,4
405,2015020399,CHI,WPG,3,1
406,2015020398,CAR,ARI,5,4
407,2015020400,N.J,FLA,4,2
408,2015020401,NYR,OTT,4,1
409,2015020403,ANA,PIT,2,1
410,2015020402,EDM,BUF,4,2
411,2015020404,L.A,T.B,3,1
412,2015020405,BOS,NSH,2,3
413,2015020406,COL,MIN,2,1
414,2015020407,VAN,BUF,5,2
415,2015020408,PHI,NYI,3,4
416,2015020410,CBJ,L.A,2,3
417,2015020409,WSH,DET,3,2
418,2015020411,TOR,N.J,3,2
419,2015020412,FLA,OTT,2,4
420,2015020413,STL,ARI,4,1
421,2015020414,CHI,NSH,4,1
422,2015020415,DAL,CAR,6,5
423,2015020416,CGY,S.J,4,2
424,2015020416,CGY,S.J,4,2
425,2015020417,MTL,BOS,1,3
426,2015020419,EDM,S.J,4,3
427,2015020420,VAN,NYR,2,1
428,2015020418,COL,PIT,2,4
429,2015020421,DET,MTL,3,2
430,2015020422,T.B,OTT,4,1
431,2015020423,FLA,WSH,4,1
432,2015020424,STL,PHI,2,4
433,2015020425,NSH,CHI,5,1
434,2015020426,WPG,CBJ,6,4
435,2015020427,CGY,BUF,4,3
436,2015020428,N.J,DET,3,2
437,2015020429,PIT,L.A,2,3
438,2015020430,CHI,WPG,2,0
439,2015020431,DAL,PHI,3,1
440,2015020433,ARI,MIN,2,1
441,2015020432,EDM,NYR,7,5
442,2015020434,ANA,CAR,1,5
443,2015020434,ANA,CAR,1,5
444,2015020435,BOS,FLA,3,1
445,2015020436,BUF,L.A,2,1
446,2015020437,MTL,OTT,3,1
447,2015020437,MTL,OTT,3,1
448,2015020438,T.B,WSH,1,2
449,2015020439,CBJ,NYI,2,3
450,2015020440,STL,DAL,3,0
451,2015020441,NSH,COL,2,3
452,2015020442,ARI,CAR,4,5
453,2015020443,CGY,NYR,5,4
454,2015020444,S.J,MIN,0,2
455,2015020445,NYI,N.J,4,0
456,2015020446,STL,COL,1,3
457,2015020447,CHI,VAN,4,0
458,2015020448,BOS,EDM,2,3
459,2015020449,PIT,WSH,1,4
460,2015020450,CBJ,T.B,1,2
