date_of_fight,idk_column,player1_name,player1_team,player2_name,player2_team,winner
02/08/10,1 Pd 9:55,Colton Orr,TOR,Jody Shelley,SJS,Voted winner: Jody Shelley (99.6%) - Voted rating: 7.38
02/08/10,2 Pd 5:43,Garnet Exelby,TOR,Brad Staubitz,SJS,Voted winner: Brad Staubitz (50%) - Voted rating: 5
02/07/10,1 Pd 12:17,Ryan O'Byrne,MON,Blake Wheeler,BOS,Voted winner: Ryan O'Byrne (24.4%) - Voted rating: 1.85
02/07/10,1 Pd 15:51,Mike Knuble,WAS,Craig Adams,PIT,Voted winner: Mike Knuble (15.4%) - Voted rating: 1.65
02/06/10,2 Pd 9:25,Wade Belak,NSH,Jody Shelley,SJS,Voted winner: Wade Belak (29.1%) - Voted rating: 2.82
02/06/10,1 Pd 2:4,Wade Belak,NSH,Jody Shelley,SJS,Voted winner: Wade Belak (70.8%) - Voted rating: 5.26
02/06/10,1 Pd 12:29,Barret Jackman,STL,Cam Barker,CHI,Voted winner: Barret Jackman (54.3%) - Voted rating: 4.09
02/06/10,1 Pd 17:53,Eric Brewer,STL,Andrew Ladd,CHI,Voted winner: Andrew Ladd (19.2%) - Voted rating: 3
02/06/10,2 Pd 2:49,Jared Boll,CBJ,Steve Montador,BUF,Voted winner: Jared Boll (90.9%) - Voted rating: 3.8
02/06/10,3 Pd 2:52,R.J. Umberger,CBJ,Drew Stafford,BUF,Voted winner: Drew Stafford (51.5%) - Voted rating: 6.55
02/06/10,1 Pd 7:58,Todd Fedoruk,TBL,Cory Sarich,CAL,Voted winner: Cory Sarich (10.3%) - Voted rating: 2.67
02/06/10,1 Pd 16:45,Stephane Veilleux,TBL,Ales Kotalik,CAL,Voted winner: Draw (50%) - Voted rating: 2.25
02/06/10,2 Pd 4:42,Ron Hainsey,ATL,Keith Ballard,FLA,Voted winner: Ron Hainsey (86.5%) - Voted rating: 3.17
02/06/10,2 Pd 19:46,Zach Bogosian,ATL,Dominic Moore,FLA,Voted winner: Zach Bogosian (98.6%) - Voted rating: 5.44
02/06/10,1 Pd 3:40,Brandon Prust,NYR,Andrew Peters,NJD,Voted winner: Andrew Peters (59.8%) - Voted rating: 4.86
02/06/10,1 Pd 12:41,Brandon Prust,NYR,Andrew Peters,NJD,Voted winner: Brandon Prust (29.6%) - Voted rating: 3.8
