,fullName,id,position,position_code
386,Philipp Kurashev,8480798,Center,C
387,Kevin Lankinen,8480947,Goalie,G
388,Kirby Dach,8481523,Center,C
389,Jakub Vrana,8477944,Left Wing,L
390,Mitchell Stephens,8478477,Center,C
391,Thomas Greiss,8471306,Goalie,G
392,Marc Staal,8471686,Defenseman,D
393,Sam Gagner,8474040,Center,C
394,Nick Leddy,8475181,Defenseman,D
395,Vladislav Namestnikov,8476480,Center,C
396,Danny DeKeyser,8477215,Defenseman,D
397,Carter Rowney,8477240,Center,C
398,Adam Erne,8477454,Left Wing,L
399,Tyler Bertuzzi,8477479,Left Wing,L
400,Jordan Oesterle,8477851,Defenseman,D
401,Dylan Larkin,8477946,Center,C
402,Robby Fabbri,8477952,Center,C
403,Alex Nedeljkovic,8477968,Goalie,G
404,Givani Smith,8479379,Right Wing,R
405,Filip Hronek,8479425,Defenseman,D
406,Troy Stecher,8479442,Defenseman,D
407,Michael Rasmussen,8479992,Center,C
408,Gustav Lindstrom,8480184,Defenseman,D
409,Pius Suter,8480459,Center,C
410,Joe Veleno,8480813,Center,C
411,Filip Zadina,8480821,Right Wing,R
412,Moritz Seider,8481542,Defenseman,D
413,Lucas Raymond,8482078,Left Wing,L
414,Nick Cousins,8476393,Center,C
415,Roman Josi,8474600,Defenseman,D
416,Mark Borowiecki,8474697,Defenseman,D
417,Matt Duchene,8475168,Center,C
418,Mattias Ekholm,8475218,Defenseman,D
419,Ryan Johansen,8475793,Center,C
420,Mikael Granlund,8475798,Center,C
421,Filip Forsberg,8476887,Left Wing,L
422,Colton Sissons,8476925,Center,C
423,Matt Benning,8476988,Defenseman,D
424,Juuse Saros,8477424,Goalie,G
425,Ben Harpur,8477433,Defenseman,D
426,Michael McCarron,8477446,Right Wing,R
427,Yakov Trenin,8478508,Center,C
428,Alexandre Carrier,8478851,Defenseman,D
429,Philippe Myers,8479026,Defenseman,D
430,Luke Kunin,8479316,Center,C
431,Dante Fabbro,8479371,Defenseman,D
432,David Rittich,8479496,Goalie,G
433,Matt Luff,8479644,Right Wing,R
434,Tanner Jeannot,8479661,Left Wing,L
435,Eeli Tolvanen,8480009,Right Wing,R
436,Philip Tomasino,8481577,Center,C
437,Marco Scandella,8474618,Defenseman,D
438,David Perron,8474102,Left Wing,L
439,Robert Bortuzzo,8474145,Defenseman,D
440,Tyler Bozak,8475098,Center,C
441,Ryan O'Reilly,8475158,Center,C
442,Brayden Schenn,8475170,Center,C
443,Justin Faulk,8475753,Defenseman,D
444,Vladimir Tarasenko,8475765,Right Wing,R
445,Jordan Binnington,8476412,Goalie,G
446,Brandon Saad,8476438,Left Wing,L
447,Torey Krug,8476792,Defenseman,D
448,Colton Parayko,8476892,Defenseman,D
449,Oskar Sundqvist,8476897,Center,C
450,Pavel Buchnevich,8477402,Left Wing,L
451,Ivan Barbashev,8477964,Center,C
452,Jake Walman,8478013,Defenseman,D
453,Ville Husso,8478024,Goalie,G
454,Dakota Joshua,8478057,Center,C
455,Niko Mikkola,8478859,Defenseman,D
